Year,total_precip,avg_precip,min_precip,max_precip,std_precip,avg_month_precip,Annual_Variation
2006,1264.0,6.6945854189840555,5,277,94.12403164619191,6.6945854189840555,
2007,1620.0,8.695506581386725,0,385,134.41455548887822,8.695506581386725,28.164556962025312
2008,1175.0,6.265126761216166,2,263,81.68616032033081,6.265126761216166,-27.469135802469136
2009,1714.0,9.145259779384501,4,348,125.20879531503537,9.145259779384501,45.872340425531924
2010,1399.0,7.420872728958102,0,286,103.68962281148427,7.420872728958102,-18.378063010501755
2011,1171.0,6.210558027437894,0,347,114.42540907693642,6.210558027437894,-16.297355253752677
2012,1301.0,6.939058444568038,5,272,82.72897517395783,6.939058444568038,11.101622544833468
2013,1168.0,6.221333889506859,0,303,86.8837607311509,6.221333889506859,-10.222905457340502
2014,1523.0,8.056150352243233,12,456,138.36083151300332,8.056150352243233,30.39383561643836
2015,1087.0,5.775682471264368,4,253,71.47340043468598,5.775682471264368,-28.62770847012476
2016,1713.0,9.125880608083056,4,527,147.17591514918465,9.125880608083056,57.58969641214351
2017,1240.0,6.549302465702632,9,311,100.5659741240304,6.549302465702632,-27.61237594862814
2018,1261.0,6.671481043752318,6,261,89.92568480628206,6.671481043752318,1.693548387096766
2019,1370.0,7.336739896180941,5,313,112.26740264640354,7.336739896180941,8.643933386201418
2020,1466.0,7.8521041898405635,4,353,111.76748049844237,7.8521041898405635,7.0072992700729975
2021,897.0,4.783410965888024,1,191,57.03447920496704,4.783410965888024,-38.813096862210095
2022,1153.0,6.180431961438636,7,222,74.5952208234346,6.180431961438636,28.539576365663333
2023,1140.0,6.106281284760846,11,321,97.33914469990523,6.106281284760846,-1.1274934952298366
2024,761.0,4.093245967741935,0,174,54.98009281604212,4.093245967741935,-33.245614035087726
2025,1217.0,6.482526881720431,5,286,93.47479809439483,6.482526881720431,59.92115637319317
2026,1007.0,5.420722098628105,0,223,73.06965336187277,5.420722098628105,-17.255546425636815
2027,1180.0,6.379594225064888,3,340,104.49300397054283,6.379594225064888,17.17974180734856
2028,1303.0,6.983245272525028,0,271,97.57650456141705,6.983245272525028,10.423728813559329
2029,1070.0,5.668833426028921,3,293,93.33014063803373,5.668833426028921,-17.881811204911745
2030,932.0,4.938844086021506,0,220,75.14874139553724,4.938844086021506,-12.897196261682243
2031,1426.0,7.564510335558027,0,309,103.21366482235094,7.564510335558027,53.004291845493555
2032,1099.0,5.815669030404153,0,285,85.50540475563075,5.815669030404153,-22.931276297335202
2033,975.0,5.213211438635521,0,215,75.65486825650476,5.213211438635521,-11.28298453139217
2034,843.0,4.525717232109752,0,176,58.147344190114445,4.525717232109752,-13.538461538461544
2035,1135.0,6.014321468298109,11,230,74.85313904067367,6.014321468298109,34.63819691577699
2036,1272.0,6.786099137931035,2,284,97.74270491262438,6.786099137931035,12.070484581497798
2037,1257.0,6.674539998146088,3,369,107.29409455917286,6.674539998146088,-1.1792452830188704
2038,650.0,3.4581769095291066,2,144,51.86141205757958,3.4581769095291066,-48.28957836117741
2039,1194.0,6.373244577308121,0,287,92.09728058368005,6.373244577308121,83.6923076923077
2040,1318.0,7.065361976269929,0,308,98.04992543999144,7.065361976269929,10.385259631490795
2041,1056.0,5.670003707823507,0,212,71.03520254071216,5.670003707823507,-19.878603945371776
2042,1577.0,8.38426376529477,2,302,111.66301441336243,8.38426376529477,49.33712121212122
2043,1114.0,5.880214126807565,5,524,142.08821417014366,5.880214126807565,-29.359543436905522
2044,1231.0,6.506477104189841,8,235,79.49209032502809,6.506477104189841,10.502692998204676
2045,1149.0,6.137867306266222,2,276,87.38850038763681,6.137867306266222,-6.66125101543461
2046,1619.0,8.599056822395253,0,382,128.6223918956948,8.599056822395253,40.905134899912966
2047,1059.0,5.65984774749722,6,236,79.31883302676151,5.65984774749722,-34.58925262507721
2048,1170.0,6.239745550611791,0,341,104.52968260477283,6.239745550611791,10.481586402266284
2049,1431.0,7.636337829069337,6,303,116.82163949605166,7.636337829069337,22.307692307692317
2050,1143.0,6.062639043381535,2,253,81.50306742693799,6.062639043381535,-20.125786163522008
2051,1117.0,5.973402159807193,3,268,84.33532456626328,5.973402159807193,-2.274715660542437
2052,1073.0,5.729624351130886,0,214,89.20910912858143,5.729624351130886,-3.93912264995524
2053,1203.0,6.440170791620319,2,467,137.61350686879274,6.440170791620319,12.115563839701782
2054,1062.0,5.603361373748609,0,241,85.65735122090699,5.603361373748609,-11.720698254364093
2055,937.0,4.976936179087875,0,230,73.899758067427,4.976936179087875,-11.77024482109228
2056,1002.0,5.421104467927326,1,321,92.92763558030224,5.421104467927326,6.937033084311639
2057,1184.0,6.2349195865776785,9,331,108.140761243965,6.2349195865776785,18.16367265469061
2058,1278.0,6.821514645902855,1,350,117.48771695953427,6.821514645902855,7.939189189189189
2059,877.0,4.685541805710049,0,181,69.08947865345388,4.685541805710049,-31.37715179968701
